"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","98.3737741616736","98.4282597493425","98.5017492013514","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.62349738713396","","","9.76549107771651","10.9102432017627","10.4427955703514","12.5180411959847","12.5271501168806","12.9865086541341","15.5277914218334","14.4627604783023","16.1009040222933","19.3751714802833","18.6723059476993","17.6239561137036","16.5166329797999","24.5944742175144","25.3892973709915","27.0417428231018","29.1382848280998","30.9986867049528","32.7726898837157","",
"Afghanistan","AFG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.13041009323948","7.84279549013813","15.3556428763825","19.2648207623049","25.0363981560141","27.9542508439441","36.6945043645853","30.218801811679","29.5728809074145","60.8491566005698","60.2391977225107","86.5005116269173","64.5733543829493","97.0993598284929","97.0919732482142","91.6060600230095","97.0756269501314","97.0667125932952","97.0572022178384","",
"Africa Western and Central","AFW","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.10974589587","12.4222510546919","12.8090005753369","12.6644329826254","15.0708607809303","14.2680450987084","17.9583481340925","16.6572812195895","16.144911164883","15.7797417847525","21.3864784616031","17.2314666394496","17.5066481686985","18.139124029399","17.7356641940046","19.5294684265663","18.811945091111","20.5018567875837","22.1659537871938","19.068536687952","23.3193435615343","22.4260242200762","22.7656106776014","27.3317480643152","22.871335973949","28.1526241473882","26.2950980043734","24.6824222604613","25.8469444930906","",
"Angola","AGO","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.47399406215601","9.47707668530839","2.75965124940285","2.25591632545286","1.65374373518468","0.959755701799053","0.664274596034857","","6.60939025572121","","","","","","","3.81506733203609","","","7.33344823653539","","","","",
"Albania","ALB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99.9","99.8423370630002","99.8970949705824","99.9530141412494","99.73544336516","99.7291774311292","100","100","100","100","",
"Andorra","AND","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54.767558037914","57.0220361857645","58.2550615845094","57.9590661830037","60.2906629794458","61.1157412640462","62.5666709470951","63.5353703147752","69.4150570462755","71.0113898569964","70.6060349153673","72.4471919891323","68.7192298721334","70.3307029098558","74.060331965145","70.5878974346881","70.4347131892126","71.4190770974609","75.1989062478834","75.4375154287221","74.6195507981472","80.2332283090472","78.9569155761524","79.5898011117797","80.4797785199967","83.0764281014905","83.8644020981042","84.564641915229","82.5082921227149","82.8265596183626","",
"United Arab Emirates","ARE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","78.8945883201315","79.2542709682829","79.7786350872369","80.3337006585459","80.9358863354632","81.608093422829","82.3698768370974","83.247062020095","84.2638406906497","85.4318646348945","91.7907280675116","88.6387107010035","92.5830974497896","92.9043660661052","93.1807940987941","93.4174966806644","93.6189826730907","93.7968151410963","93.9690229551928","94.1565361473394","98.6167091875539","97.7890435761809","96.0965621663528","95.4264642484105","100","97.6160575199843","99.2730691798647","100","99.9229553144899","100","100","100","",
"Armenia","ARM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.5339729859607","100","95.7574674782487","98.9032419891346","98.8978913687068","99.6226998320135","98.8984720282652","98.9156630896701","98.9465126539584","98.9917491615362","99.9735229050331","99.2552845010887","99.2206242911468","99.4371473603841","99.7955454829429","100","99.8","99.5289752478917","99.9","100","100","100","",
"American Samoa","ASM","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","93.4386347880213","93.7098652152215","94.0200279031483","94.3252592019729","94.624883549818","94.9178518936987","95.2032694015414","95.480255585198","95.7479582817867","96.0055251493441","96.5717185916311","96.6992095360367","100","96.9658698902141","97.1123787586216","100","100","100","100","98.0183195957434","98.2378008570442","92.6706917040569","100","100","100","100","100","100","100","100","100","100","",
"Australia","AUS","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Austria","AUT","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Azerbaijan","AZE","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","98.0660884019975","97.5912886048578","100","98.1073258728051","98.3629716869597","98.6263302575339","99.1672354516098","99.1994962307705","99.5114319222904","99.8521818454373","99.9290096807004","99.9","100","100","100","100","100","100","100","100","100","100","",
"Burundi","BDI","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.882570838367696","","","","","0.998027727111687","0.980123073340712","1.20747858826375","1.53369584676301","1.6584073300067","1.97714432825881","1.97358317236654","0.934801165055394","1.62982248444173","",
"Belgium","BEL","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Benin","BEN","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.77705783175004","2.95153386395072","3.77084155437861","4.59248706500119","5.39472665156881","4.44922418747783","6.79306355152856","7.37258807907263","7.94636524964452","8.52242289802522","7.91549930502772","9.69981615173935","10.3009951580298","10.9093184818506","10.5737025302915","13.6236325183686","14.5507822008426","13.3714628390915","16.2260160562312","11.0660053632715","15.1605577237993","17.192182770127","16.3231560093481","16.8906882115949","17.4474673758129","17.9942154433107","",
"Burkina Faso","BFA","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.11886320042586","1.35751354030041","1.6318759881764","1.89743050224686","2.07642889027307","2.17145348172265","","2.31067177922259","2.24230503040531","2.13277762706983","1.15256225567132","1.81166018318188","1.61030457462596","1.3868080033124","1.2426144488847","1.16741396563658","2.55069817053234","1.52984230474851","1.87525326416607","1.45168429571731","1.04554773239628","4.74987644223849","","","","","","","","",
"Bangladesh","BGD","Access to electricity, rural (% of rural population)","EG.ELC.ACCS.RU.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.17101853037543","","","2.23884484895593","3.73433754799093","6.69330420934747","5.8814757415098","12.655072788125","15.6581285850542","16.8105220781412","21.5143426245303","24.2974955762596","27.098626876504","27.8762904001413","30.1718588271601","40.1709567552799","32.492263270901","41.6550932143171","44.7026820322642","39.997897436946","45.7070884655661","53.7705466662662","48.5877629251502","48.1211989711293","63.7815958556997","66.1436475784573","81.57102983522","81.3262437908116","88.8535985163401","95.2119664318479","98.5442117423545","",
