"Data Source","World Development Indicators",

"Last Updated Date","2023-10-26",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","99.9241333007813","99.966064453125","99.9903564453125","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Africa Eastern and Southern","AFE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.6816577808585","53.2353309685579","55.3409972063531","56.3335252331815","56.9948097726403","58.0645714875702","58.6094590195215","60.7681917576527","58.8837407439322","61.2102132896199","62.9601364534058","65.873454513374","66.6302986390862","66.7957345750975","65.9988980187913","67.0223317420289","68.9074035912735","70.663095630933","71.5653759017355","72.6116853088443","74.1299234862283","75.5591742389248","",
"Afghanistan","AFG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","73.4444732666016","74.7862243652344","76.1259002685547","77.4704284667969","78.8267364501953","74","81.6020889282227","83.0280227661133","89.9","85.9315948486328","82.8","86.5677791512155","95","92.2487182617188","98.7","92.5","99.5","99.5","98.7636108398438","99.5","99.5","99.5","",
"Africa Western and Central","AFW","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","76.2783242913483","76.3298096678448","76.1319446292734","73.0527166820414","72.4605357814795","73.0811624483064","72.8202701502269","71.4031271089309","72.1434864856483","72.1896531207082","73.2459393482197","73.213182758088","73.9197203560477","74.6436424766574","76.1255748355077","75.567127661332","75.5020442445163","74.0988258188152","79.2885003051259","78.7926045539956","78.773581785487","79.7535099087116","78.2454522771869","81.5236289895867","82.4781254612388","80.1995304281105","82.647698701249","83.3134548064359","86.5923927237269","",
"Angola","AGO","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.9315986633301","30","47.670352935791","49.0435409545898","50.4285087585449","51.8321723937988","53.2611885070801","66.1","61.31","57.6766815185547","73.6322174072266","82.5","70.3327713012695","68.5980834960938","51","64","67.9457473754883","69.3603591918945","65.27","72.1674118041992","73.5654067993164","74.9629364013672","",
"Albania","ALB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","96.0730209350586","96.3204574584961","96.5658264160156","96.816047668457","97.0780410766602","97.3587417602539","97.6647796630859","97.9964065551758","98.3474197387695","98.7113647460938","99.0817794799805","99.4521865844727","99.9","99.928955078125","99.9908599853516","100","100","100","100","100","100","100","",
"Andorra","AND","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Arab World","ARB","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3720885290062","94.4080552318031","94.4307297181922","94.6280068340773","94.785560601312","94.6878448940242","95.4973923675027","95.1972687480757","94.5596534536183","95.2003848398829","96.9854152561913","97.1226995731242","97.0993290025165","97.3476569588465","97.3218803614788","97.1957432101304","97.3583234167277","97.4664121019202","97.0827288557965","97.556454757753","97.6223030185652","97.6752915773698","",
"United Arab Emirates","ARE","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","",
"Argentina","ARG","Access to electricity, urban (% of urban population)","EG.ELC.ACCS.UR.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.1390151977539","94.4131164550781","94.6866989135742","94.9571228027344","95.2212295532227","95.4758529663086","95.7178421020508","95.9440383911133","96.1512680053711","96.3380737304688","96.1542663574219","96.3320159912109","96.5076904296875","96.6882171630859","96.8805236816406","97.0915298461914","97.327880859375","97.5898132324219","97.8711318969727","98.1653900146484","98.8404769897461","99.1575927734375","99.4407272338867","99.655891418457","100","99.8815307617188","99.9570083618164","100","100","100","100","100","",
